a-d-sync	Altos Design Synchronization protocol
hinz	HINZMobil Synchronization protocol
hmcp	Home Media Control Protocol
home-sharing	iTunes Home Sharing
homeauto	iDo Technology Home Automation Protocol
honeywell-vid	Honeywell Video Systems
hotwayd	Hotwayd
howdy	Howdy messaging and notification protocol
hpr-bldlnx	HP Remote Build System for Linux-based Systems
hpr-bldwin	HP Remote Build System for Microsoft Windows Systems
hpr-db	Identifies systems that house databases for the Remote Build System and Remote Test System
hpr-rep	HP Remote Repository for Build and Test Results
hpr-toollnx	HP Remote System that houses compilers and tools for Linux-based Systems
hpr-toolwin	HP Remote System that houses compilers and tools for Microsoft Windows Systems
hpr-tstlnx	HP Remote Test System for Linux-based Systems
hpr-tstwin	HP Remote Test System for Microsoft Windows Systems
hs-off	Hobbyist Software Off Discovery
htsp	Home Tv Streaming Protocol
http	World Wide Web HTML-over-HTTP
https	HTTP over SSL/TLS
hydra	SubEthaEdit
hyperstream	Atempo HyperStream deduplication server
iax	Inter Asterisk eXchange, ease-of-use NAT friendly open VoIP protocol
ibiz	iBiz Server
ica-networking	Image Capture Networking
ican	Northrup Grumman/TASC/ICAN Protocol
ichalkboard	iChalk
ichat	iChat 1.0
iconquer	iConquer
idata	Generic Data Acquisition and Control Protocol
idsync	SplashID Synchronization Service
ifolder	Published iFolder
ihouse	Idle Hands iHouse Protocol
ii-drills	Instant Interactive Drills
ii-konane	Instant Interactive Konane
ilynx	iLynX
imap	Internet Message Access Protocol
imidi	iMidi
indigo-dvr	Indigo Security Digital Video Recorders
inova-ontrack	Inova Solutions OnTrack Display Protocol
idcws	Intermec Device Configuration Web Services
ipbroadcaster	IP Broadcaster
ipp	IPP (Internet Printing Protocol)
ipspeaker	IP Speaker Control Protocol
irelay	iRelay application discovery service
irmc	Intego Remote Management Console
iscsi	Internet Small Computer Systems Interface (iSCSI)
isparx	iSparx
ispq-vc	iSpQ VideoChat
ishare	iShare
isticky	iSticky
istorm	iStorm
itis-device	IT-IS International Ltd. Device
itsrc	iTunes Socket Remote Control
ivef	Inter VTS Exchange Format
iwork	iWork Server
jcan	Northrup Grumman/TASC/JCAN Protocol
jeditx	Jedit X
jini	Jini Service Discovery
jtag	Proprietary
kerberos	Kerberos
kerberos-adm	Kerberos Administration
ktp	Kabira Transaction Platform
labyrinth	Labyrinth local multiplayer protocol
lan2p	Lan2P Peer-to-Peer Network Protocol
lapse	Gawker
lanrevagent	LANrev Agent
lanrevserver	LANrev Server
ldap	Lightweight Directory Access Protocol
leaf	Lua Embedded Application Framework
lexicon	Lexicon Vocabulary Sharing
liaison	Liaison
library	Delicious Library 2 Collection Data Sharing Protocol
llrp	RFID reader Low Level Reader Protocol
llrp-secure	RFID reader Low Level Reader Protocol over SSL/TLS
lobby	Gobby
logicnode	Logic Pro Distributed Audio
login	Remote Login a la Telnet
lonbridge	Echelon LonBridge Server
lontalk	LonTalk over IP (ANSI 852)
lonworks	Echelon LNS Remote Client
lsys-appserver	Linksys One Application Server API
lsys-camera	Linksys One Camera API
lsys-ezcfg	LinkSys EZ Configuration
lsys-oamp	LinkSys Operations, Administration, Management, and Provisioning
lux-dtp	Lux Solis Data Transport Protocol
lxi	LXI
lyrics	iPod Lyrics Service
macfoh	MacFOH
macfoh-admin	MacFOH admin services
macfoh-audio	MacFOH audio stream
macfoh-events	MacFOH show control events
macfoh-data	MacFOH realtime data
macfoh-db	MacFOH database
macfoh-remote	MacFOH Remote
macminder	Mac Minder
maestro	Maestro Music Sharing Service
magicdice	Magic Dice Game Protocol
mandos	Mandos Password Server
matrix	MATRIX Remote AV Switching
mbconsumer	MediaBroker++ Consumer
mbproducer	MediaBroker++ Producer
mbserver	MediaBroker++ Server
mconnect	ClairMail Connect
mcrcp	MediaCentral
mediaboard1	MediaBoardONE Asset and Information Manager data sharing and synchronization protocol
mesamis	Mes Amis
mimer	Mimer SQL Engine
mi-raysat	Mental Ray for Maya
modolansrv	modo LAN Services
moneysync	SplashMoney Synchronization Service
moneyworks	MoneyWorks Gold and MoneyWorks Datacentre network service
moodring	Bonjour Mood Ring tutorial program
mother	Mother script server protocol
movieslate	MovieSlate digital clapperboard
mp3sushi	MP3 Sushi
mqtt	IBM MQ Telemetry Transport Broker
mslingshot	Martian SlingShot
mumble	Mumble VoIP communication protocol
musicmachine	Protocol for a distributed music playing service
mysync	MySync Protocol
mttp	MenuTunes Sharing
mxim-art2	Maxim Integrated Products Automated Roadtest Mk II
mxim-ice	Maxim Integrated Products In-circuit Emulator
mxs	MatrixStore
ncbroadcast	Network Clipboard Broadcasts
ncdirect	Network Clipboard Direct Transfers
ncsyncserver	Network Clipboard Sync Server
neoriders	NeoRiders Client Discovery Protocol
